"variant","source","f_revised"
"dairy","milk","raw_agricultural_material"
"khoya","milk","processed_ingredient"
"bajra","pearl millet","raw_agricultural_material"
"jowar","sorghum","raw_agricultural_material"
"pista","pistachio","raw_agricultural_material"
"sugar","sugarcane","sweetener"
"sucre","sugarcane","sweetener"
"đường","sugarcane","sweetener"
"kakvi","sugarcane","sweetener"
"wafer","wheat","raw_agricultural_material"
"wheat","wheat","raw_agricultural_material"
"kesar","saffron","colour"
"mater","peas","raw_agricultural_material"
"yeast","yeast","raising agent"
"apple","apple","raw_agricultural_material"
"basil","basil","taste profile / spice"
"tulsi","tulsi","taste profile / spice"
"beans","beans","raw_agricultural_material"
"besan","chickpea","raw_agricultural_material"
"chana","chickpea","raw_agricultural_material"
"clove","clove","taste profile / spice"
"cocoa","cocoa","taste profile / spice"
"cumin","cumin","taste profile / spice"
"jeera","cumin","taste profile / spice"
"moong","mung bean","raw_agricultural_material"
"guava","guava","raw_agricultural_material"
"honey","honey","sweetener"
"leeks","leek","raw_agricultural_material"
"lemon","lemon","flavouring agent"
"dairy","milk","raw_agricultural_material"
"salts","mineral","raw_agricultural_material"
"onion","onion","raw_agricultural_material"
"sooji","wheat","raw_agricultural_material"
"wheat","wheat","raw_agricultural_material"
"supar","areca nut","taste profile / spice"
"thyme","thyme","taste profile / spice"
"water","water","raw_agricultural_material"
"brine","mineral","raw_agricultural_material"
"l-hpc","synthetic","fortification_agent"
"lupin","lupin","raw_agricultural_material"
"musli","safed musli","raw_agricultural_material"
"oxide","mineral","raw_agricultural_material"
"pipal","long pepper","taste profile / spice"
"spelt","spelt","raw_agricultural_material"
"carrot","carrot","raw_agricultural_material"
"turnip","turnip","raw_agricultural_material"
"cashew","cashew","raw_agricultural_material"
"garlic","garlic","taste profile / spice"
"ginger","ginger","taste profile / spice"
"sunthi","ginger","taste profile / spice"
"amchur","mango","taste profile / spice"
"millet","millet","raw_agricultural_material"
"quinoa","quinoa","raw_agricultural_material"
"saamai","little millet","raw_agricultural_material"
"nachni","finger millet","raw_agricultural_material"
"fudina","mint","taste profile / spice"
"raisin","grape","sweetener"
"sesame","sesame","raw_agricultural_material"
"soynut","soybean","raw_agricultural_material"
"stevia","stevia","sweetener"
"sugars","sugarcane","sweetener"
"zucker","sugarcane","sweetener"
"mishri","sugarcane","sweetener"
"waffle","wheat","raw_agricultural_material"
"almond","almond","raw_agricultural_material"
"citric","synthetic | corn","acidity regulator"
"dhania","coriander","taste profile / spice"
"safron","saffron","colour"
"fennel","fennel","taste profile / spice"
"ajwain","carom","taste profile / spice"
"ajowan","ajowan","taste profile / spice"
"coffee","coffee","flavouring agent"
"banana","banana","raw_agricultural_material"
"barley","barley","raw_agricultural_material"
"biotin","synthetic","fortification_agent"
"pepper","pepper","taste profile / spice"
"brahmi","brahmi","flavouring agent"
"butter","milk","lipid base"
"celery","celery","taste profile / spice"
"cheese","milk","processed_ingredient"
"paneer","milk","processed_ingredient"
"cheese","milk","processed_ingredient"
"chilli","chilli","taste profile / spice"
"chilli","chilli","taste profile / spice"
"cloves","cloves","taste profile / spice"
"khobra","coconut","raw_agricultural_material"
"yogurt","milk","processed_ingredient"
"iodate","mineral","fortification_agent"
"lentil","lentil","raw_agricultural_material"
"masoor","lentil","raw_agricultural_material"
"casein","milk","processed_ingredient"
"niacin","synthetic","fortification_agent"
"nutmeg","nutmeg","taste profile / spice"
"onions","onion","taste profile / spice"
"tomate","tomato","raw_agricultural_material"
"pepper","pepper","taste profile / spice"
"potato","potato","raw_agricultural_material"
"quinoa","quinoa","raw_agricultural_material"
"radish","radish","raw_agricultural_material"
"tomato","tomato","raw_agricultural_material"
"anjeer","fig","raw_agricultural_material"
"valine","synthetic","fortification_agent"
"chakka","jackfruit","raw_agricultural_material"
"chhena","milk","processed_ingredient"
"chikoo","sapodilla","raw_agricultural_material"
"chikoo","sapodilla","raw_agricultural_material"
"chirva","rice","raw_agricultural_material"
"chives","chives","taste profile / spice"
"chives","chives","taste profile / spice"
"citron","citron","flavouring agent"
"gluten","wheat","processed_ingredient"
"lutein","marigold","colour"
"lysine","synthetic","fortification_agent"
"pecans","pecan","raw_agricultural_material"
"pomelo","pomelo","flavouring agent"
"yogurt","milk","processed_ingredient"
"alm oil","palm","lipid base"
"sal fat","sal","lipid base"
"carrots","carrot","raw_agricultural_material"
"cashews","cashew","raw_agricultural_material"
"com oil","corn","lipid base"
"mangoes","mango","raw_agricultural_material"
"amchoor","mango","taste profile / spice"
"millets","millet","raw_agricultural_material"
"menthol","mint","flavouring agent"
"paprika","paprika","colour"
"raisins","grape","sweetener"
"til oil","sesame","lipid base"
"soynuts","soybean","raw_agricultural_material"
"sucrose","sugarcane","sweetener"
"jaggery","sugarcane | palm","sweetener"
"glucose","corn | tapioca","sweetener"
"vinegar","sugarcane","flavouring agent"
"almonds","almond","raw_agricultural_material"
"mandeln","almond","raw_agricultural_material"
"tumeric","turmeric","taste profile / spice"
"saffron","saffron","taste profile / spice"
"om seed","ajwain","taste profile / spice"
"aniseed","anise","taste profile / spice"
"apricot","apricot","raw_agricultural_material"
"maricha","pepper","taste profile / spice"
"milkfat","milk","lipid base"
"cow fat","beef","lipid base"
"cabbage","cabbage","raw_agricultural_material"
"chicory","chicory","taste profile / spice"
"coconut","coconut","raw_agricultural_material"
"cow fat","beef","lipid base"
"yoghurt","milk","processed_ingredient"
"dextrin","corn | tapioca","thickener"
"ins 631","tapioca | sugarcane","flavouring agent"
"amylase","aspergillus oryzae | barley","flour treatment agent"
"beeswax","beeswax","thickener"
"kalonji","nigella seed","taste profile / spice"
"lactose","milk","sweetener"
"lentils","lentil","raw_agricultural_material"
"mulethi","licorice","taste profile / spice"
"pippali","long pepper","taste profile / spice"
"menthol","mint","taste profile / spice"
"moringa","moringa","raw_agricultural_material"
"shitake","mushroom","raw_agricultural_material"
"shitaki","mushroom","raw_agricultural_material"
"mustard","mustard","taste profile / spice"
"shallot","shallot","taste profile / spice"
"oregano","oregano","taste profile / spice"
"parsley","parsley","taste profile / spice"
"soybean","soybean","raw_agricultural_material"
"spinach","spinach","raw_agricultural_material"
"anistar","star anise","taste profile / spice"
"tapioca","tapioca","raw_agricultural_material"
"taurine","synthetic","fortification_agent"
"thiamin","synthetic","fortification_agent"
"trifala","amla | haritaki | bibhitaki","NULL"
"vannila","vanilla","flavouring agent"
"vit. d2","yeast","NULL"
"alcohol","sugarcane | molasses","NULL"
"ammonia","synthetic","acidity regulator"
"lactase","yeast","flour treatment agent"
"leucine","synthetic","fortification_agent"
"catechu","acacia catechu","taste profile / spice"
"cucumis","cucumber","raw_agricultural_material"
"isabgol","psyllium","thickener"
"fox nut","fox nut","raw_agricultural_material"
"foxnuts","fox nut","raw_agricultural_material"
"gongura","gongura","raw_agricultural_material"
"isomalt","sugarcane","sweetener"
"pumpkin","pumpkin","raw_agricultural_material"
"nannari","sarsaparilla","flavouring agent"
"ins 941","synthetic","propellant"
"ins 999","quillaja saponaria","emulsifier"
"xylitol","birch","sweetener"
"yoghurt","milk","processed_ingredient"
"palm oil","palm","lipid base"
"paim oil","palm","lipid base"
"palm fat","palm","lipid base"
"sea salt","mineral","raw_agricultural_material"
"yellow 6","synthetic","colour"
"corn oil","corn","lipid base"
"costarch","corn","thickener"
"hazelnut","hazelnut","raw_agricultural_material"
"milk snf","milk","processed_ingredient"
"soy nuts","soybean","raw_agricultural_material"
"soyabean","soybean","raw_agricultural_material"
"soybeans","soybean","raw_agricultural_material"
"sharkara","sugarcane","sweetener"
"dextrose","corn | tapioca","sweetener"
"fructose","corn","sweetener"
"levulose","corn","sweetener"
"urad dal","urad dal","raw_agricultural_material"
"turmeric","turmeric","taste profile / spice"
"maltitol","corn | wheat","sweetener|bulking agent"
"cow milk","milk","raw_agricultural_material"
"raw milk","milk","raw_agricultural_material"
"cultures","lactobacillus | streptococcus","fermentation_agent"
"allspice","allspice","taste profile / spice"
"bay leaf","bay laurel","taste profile / spice"
"gram dal","chickpea","raw_agricultural_material"
"d-biotin","synthetic","fortification_agent"
"thippili","thippili","taste profile / spice"
"milk fat","milk","lipid base"
"chillies","chilli","taste profile / spice"
"cinnamon","cinnamon","taste profile / spice"
"cinnamom","cinnamon","taste profile / spice"
"cow milk","milk","raw_agricultural_material"
"cake gel","palm | soybean | sunflower","emulsifier|stabiliser"
"glycerin","palm | soybean | rapeseed","humectant"
"cardamom","cardamom","taste profile / spice"
"moongdal","mung bean","raw_agricultural_material"
"guar gum","guar","thickener"
"hibiscus","hibiscus","colour"
"inositol","corn","NULL"
"lecithin","soybean | sunflower","emulsifier"
"lycopene","tomato","colour"
"molasses","sugarcane","sweetener"
"navsadar","synthetic","raising agent"
"toor dal","pigeon pea","raw_agricultural_material"
"potatoes","potato","raw_agricultural_material"
"rosemary","rosemary","taste profile / spice"
"semolina","wheat","raw_agricultural_material"
"sesbania","sesbania","raw_agricultural_material"
"ins 420i","sorbitol","crystalline chemical"
"sulphite","mineral","preservative"
"tamarind","tamarind","flavouring agent"
"tartaric","grape","acidity regulator"
"tomatoes","tomato","raw_agricultural_material"
"vanillin","synthetic","flavouring agent"
"ro water","water","raw_agricultural_material"
"arginine","sugarcane","fortification_agent"
"betelnut","areca palm","taste profile / spice"
"cherries","cherry","raw_agricultural_material"
"chloride","mineral","NULL"
"digezyme","aspergillus oryzae","NULL"
"protease","aspergillus oryzae | bacillus subtilis","flour treatment agent"
"fox nuts","fox nut","raw_agricultural_material"
"gum base","chicle","raw_agricultural_material"
"haritaki","haritaki","taste profile / spice"
"jalapeno","jalapeno","taste profile / spice"
"khorasan","khorasan wheat","raw_agricultural_material"
"l-lysine","sugarcane","fortification_agent"
"mulberry","mulberry","raw_agricultural_material"
"nitrogen","synthetic","propellant"
"vallarai","brahmi","taste profile / spice"
"xylanase","aspergillus niger","flour treatment agent"
"palmolein","palm","lipid base"
"palmolien","palm","lipid base"
"vanaspati","palm | soybean | groundnut","lipid base"
"kalanamak","mineral","raw_agricultural_material"
"rock salt","mineral","raw_agricultural_material"
"cornflour","corn","processed_ingredient"
"hazelnuts","hazelnut","raw_agricultural_material"
"magnesium","mineral","raw_agricultural_material"
"dry mango","mango","raw_agricultural_material"
"raw mango","mango","raw_agricultural_material"
"mint oils","mint","flavouring agent"
"pistachio","pistachio","raw_agricultural_material"
"soya grit","soybean","raw_agricultural_material"
"soyabeans","soybean","raw_agricultural_material"
"soya four","soybean","raw_agricultural_material"
"khandsari","sugarcane","sweetener"
"sugarcane","sugarcane","raw_agricultural_material"
"d-glucose","corn | tapioca","sweetener"
"urid dhal","urad dal","raw_agricultural_material"
"orid dhal","urad dal","raw_agricultural_material"
"vitamin a","synthetic | fish liver oil","fortification_agent"
"flax seed","flax","raw_agricultural_material"
"oat flour","oat","raw_agricultural_material"
"asafetida","asafoetida","taste profile / spice"
"fenugreek","fenugreek","taste profile / spice"
"coriander","coriander","taste profile / spice"
"green pea","pea","raw_agricultural_material"
"skim milk","milk","raw_agricultural_material"
"algal oil","algae","lipid base"
"aspartame","synthetic","sweetener"
"bael pulp","bael","raw_agricultural_material"
"bayleaves","bay laurel","taste profile / spice"
"chana dal","chickpea","raw_agricultural_material"
"gram dhal","chickpea","raw_agricultural_material"
"gram meal","chickpea","raw_agricultural_material"
"bhringraj","bhringraj","taste profile / spice"
"black tea","tea","flavouring agent"
"butterfat","milk","lipid base"
"chickpeas","chickpea","raw_agricultural_material"
"red chili","chilli","taste profile / spice"
"clove bud","clove","taste profile / spice"
"cranberry","cranberry","raw_agricultural_material"
"vegan dha","algae","lipid base"
"egg white","egg","processed_ingredient"
"desi ghee","milk","lipid base"
"glycerine","palm | soybean | rapeseed","humectant"
"red grape","grape","raw_agricultural_material"
"moong dal","mung bean","raw_agricultural_material"
"green tea","tea","flavouring agent"
"ice cream","milk","processed_ingredient"
"dew beans","moth bean","raw_agricultural_material"
"naushadar","synthetic","raising agent"
"tree nuts","almond | cashew | walnut | pistachio","raw_agricultural_material"
"olive oil","olive","lipid base"
"toor dhal","pigeon pea","raw_agricultural_material"
"pineapple","pineapple","raw_agricultural_material"
"plum pulp","plum","raw_agricultural_material"
"potassium","mineral","raw_agricultural_material"
"rice meal","rice","raw_agricultural_material"
"rice rava","rice","raw_agricultural_material"
"rice flex","rice","raw_agricultural_material"
"idli rava","rice","raw_agricultural_material"
"staranise","star anise","taste profile / spice"
"sucralose","synthetic","sweetener"
"sulphites","mineral","preservative"
"vitamin d","lanolin | fish liver oil | synthetic","fortification_agent"
"dried fig","fig","raw_agricultural_material"
"ash gourd","ash gourd","raw_agricultural_material"
"bibhitaki","bibhitaki","raw_agricultural_material"
"buckwheat","buckwheat","raw_agricultural_material"
"catechins","tea","antioxidant"
"chlorella","chlorella","processed_ingredient"
"dry fruit","grape | date | fig | almond | cashew | pistachio","raw_agricultural_material"
"proteases","aspergillus oryzae | bacillus subtilis","fermentation_agent"
"glutamine","sugarcane","fortification_agent"
"goat meat","goat","raw_agricultural_material"
"horsegram","horsegram","raw_agricultural_material"
"idli rava","rice","raw_agricultural_material"
"jackfruit","jackfruit","raw_agricultural_material"
"jalapenos","jalapeno","taste profile / spice"
"margarine","palm | soybean | sunflower","lipid base"
"spirulina","spirulina","processed_ingredient"
"threonine","synthetic","fortification_agent"
"palm olein","palm","lipid base"
"edible oil","palm | soybean | sunflower | groundnut","lipid base"
"black salt","mineral","taste profile / spice"
"cashew nut","cashew","raw_agricultural_material"
"riboflavin","synthetic | corn","fortification_agent"
"vitamin b2","synthetic | corn","fortification_agent"
"milk cream","milk","lipid base"
"sour cream","milk","processed_ingredient"
"date paste","date","sweetener"
"date syrup","date","sweetener"
"folic acid","synthetic","fortification_agent"
"dry ginger","ginger","taste profile / spice"
"corn syrup","corn","sweetener"
"l-camitine","synthetic","fortification_agent"
"wheatflour","wheat","raw_agricultural_material"
"mango bits","mango","sweetener"
"mango pulp","mango","raw_agricultural_material"
"smp powder","milk","processed_ingredient"
"milk solid","milk","processed_ingredient"
"milksolids","milk","processed_ingredient"
"ragi flour","finger millet","raw_agricultural_material"
"dried mint","mint","taste profile / spice"
"dry pudina","mint","taste profile / spice"
"mint puree","mint","taste profile / spice"
"peppermint","peppermint","taste profile / spice"
"pistachios","pistachio","raw_agricultural_material"
"white till","sesame","raw_agricultural_material"
"sesame oil","sesame","lipid base"
"soy flakes","soybean","raw_agricultural_material"
"soya seeds","soybean","raw_agricultural_material"
"soya flour","soybean","raw_agricultural_material"
"strawberry","strawberry","raw_agricultural_material"
"cane sugar","sugarcane","sweetener"
"palm sugar","palm","sweetener"
"desi khand","sugarcane","sweetener"
"black gram","black gram","raw_agricultural_material"
"vitamins a","synthetic","fortification_agent"
"wafer cone","wheat","raw_agricultural_material"
"m.p. wheat","wheat","raw_agricultural_material"
"wheat bran","wheat","processed_ingredient"
"zinc oxide","mineral","anticaking agent"
"flax seeds","flax","raw_agricultural_material"
"badam bits","almond","raw_agricultural_material"
"oats flour","oats","raw_agricultural_material"
"curry leaf","curry leaf","taste profile / spice"
"asafoetida","asafoetida","taste profile / spice"
"ennel seed","fennel","taste profile / spice"
"green peas","green pea","raw_agricultural_material"
"toned milk","milk","raw_agricultural_material"
"sweet whey","milk","processed_ingredient"
"a2 protein","milk","processed_ingredient"
"rama tulsi","tulsi","flavouring agent"
"vana tulsi","tulsi","flavouring agent"
"bay leaves","bay laurel","taste profile / spice"
"gram flour","chickpea","raw_agricultural_material"
"split gram","chickpea","raw_agricultural_material"
"gram grits","chickpea","raw_agricultural_material"
"gram pulse","chickpea","raw_agricultural_material"
"whole gram","chickpea","raw_agricultural_material"
"black rice","black rice","raw_agricultural_material"
"brown rice","brown rice","raw_agricultural_material"
"chia seeds","chia","raw_agricultural_material"
"chick peas","chickpea","raw_agricultural_material"
"red chilli","chilli","taste profile / spice"
"red chilly","chilli","taste profile / spice"
"cocoa mass","cocoa","processed_ingredient"
"cocoa nibs","cocoa","raw_agricultural_material"
"cumin seed","cumin","taste profile / spice"
"edible gum","acacia","thickener"
"gum arabic","acacia","thickener"
"gum acacia","acacia","thickener"
"acacia gum","acacia","thickener"
"emulsifier","palm | soybean | sunflower","emulsifier"
"emulsfying","palm | soybean | sunflower","emulsifier"
"emuslifier","palm | soybean | sunflower","emulsifier"
"sodium img","synthetic","fortification_agent"
"grape pulp","grape","raw_agricultural_material"
"green gram","mung bean","raw_agricultural_material"
"mung beans","mung bean","raw_agricultural_material"
"moong bean","mung bean","raw_agricultural_material"
"guava pulp","guava","raw_agricultural_material"
"jamun pulp","java plum","raw_agricultural_material"
"papad khar","synthetic","raising agent"
"lime juice","lime","flavouring agent"
"malic acid","apple","acidity regulator"
"monk fruit","monk fruit","sweetener"
"moth flour","moth bean","raw_agricultural_material"
"niger seed","niger","raw_agricultural_material"
"nut pieces","almond | cashew | pistachio | walnut","raw_agricultural_material"
"nuts paste","almond | cashew | pistachio | walnut","raw_agricultural_material"
"palm sugar","palm","sweetener"
"peach pulp","peach","raw_agricultural_material"
"pigeon pea","pigeon pea","raw_agricultural_material"
"poppy seed","poppy","raw_agricultural_material"
"vitamin b6","synthetic","fortification_agent"
"rice flour","rice","raw_agricultural_material"
"rice grits","rice","raw_agricultural_material"
"brown rice","brown rice","raw_agricultural_material"
"black rice","black rice","raw_agricultural_material"
"white poha","rice","raw_agricultural_material"
"rice floor","rice","raw_agricultural_material"
"nylon poha","rice","raw_agricultural_material"
"rose petal","rose","flavouring agent"
"rose water","rose","flavouring agent"
"bansi rawa","wheat","raw_agricultural_material"
"idly ravva","rice","raw_agricultural_material"
"soya sauce","soybean","flavouring agent"
"star anise","star anise","taste profile / spice"
"tea leaves","tea","flavouring agent"
"vitamins d","synthetic","fortification_agent"
"vitamin d2","synthetic","fortification_agent"
"vitamin d3","synthetic","fortification_agent"
"watermelon","watermelon","raw_agricultural_material"
"aavarampoo","aavarampoo","NULL"
"l-arginine","synthetic","fortification_agent"
"barramundi","barramundi","raw_agricultural_material"
"cloudifier","palm | soybean | sunflower","emulsifier"
"sandalwood","sandalwood","taste profile / spice"
"methionine","synthetic","fortification_agent"
"eucalyptol","eucalyptus","flavouring agent"
"gellan gum","synthetic","gelling agent|stabiliser|thickener"
"goji berry","goji berry","antioxidant"
"idly ravva","rice","raw_agricultural_material"
"l-theanine","tea","NULL"
"mayonnaise","soybean | sunflower | egg","emulsifier"
"mct powder","coconut | palm kernel","lipid base"
"molybdenum","mineral","NULL"
"phosphorus","mineral","NULL"
"wheatgrass","wheatgrass","raw_agricultural_material"
"red salmon","salmon","raw_agricultural_material"
"palm kernel","palm","lipid base"
"shea butter","shea","lipid base"
"refined oil","palm | soybean | sunflower | groundnut","lipid base"
"common salt","mineral","raw_agricultural_material"
"edible salt","mineral","raw_agricultural_material"
"sodium salt","mineral","raw_agricultural_material"
"batter salt","mineral","raw_agricultural_material"
"loaded salt","mineral","raw_agricultural_material"
"smoked salt","mineral","taste profile / spice"
"carrot bits","carrot","raw_agricultural_material"
"cashew nuts","cashew","raw_agricultural_material"
"red 40 lake","synthetic","colour"
"blue 1 lake","synthetic","colour"
"blue 2 lake","synthetic","colour"
"corn starch","corn","processed_ingredient"
"date powder","date","sweetener"
"l-carnitine","synthetic","fortification_agent"
"wheat flour","wheat","raw_agricultural_material"
"mango puree","mango","raw_agricultural_material"
"dried mango","mango","raw_agricultural_material"
"mango juice","mango","sweetener"
"milk powder","milk","processed_ingredient"
"milk solids","milk","processed_ingredient"
"kodo millet","kodo millet","raw_agricultural_material"
"bajra flour","pearl millet","raw_agricultural_material"
"mint leaves","mint","taste profile / spice"
"sesame seed","sesame","lipid base"
"soya flakes","soybean","raw_agricultural_material"
"soybean oil","soybean","lipid base"
"added sugar","sugarcane","sweetener"
"brown sugar","sugarcane","sweetener"
"sugar syrup","sugarcane","sweetener"
"white sugar","sugarcane","sweetener"
"wheat cream","wheat","raw_agricultural_material"
"rolled oats","oats","raw_agricultural_material"
"baking soda","synthetic","raising agent"
"citric acid","synthetic | corn","acidity regulator"
"xanthan gum","synthetic","thickener|stabiliser"
"orange pulp","orange","raw_agricultural_material"
"glazed peel","citrus","sweetener"
"citrus pulp","citrus","raw_agricultural_material"
"fennel seed","fennel","taste profile / spice"
"dried yeast","yeast","raising agent"
"whey powder","milk","processed_ingredient"
"acetic acid","synthetic","acidity regulator"
"carom seeds","carom","taste profile / spice"
"bishop seed","carom","taste profile / spice"
"apple juice","apple","flavouring agent"
"green apple","apple","raw_agricultural_material"
"ashwagandha","ashwagandha","raw_agricultural_material"
"banana pulp","banana","raw_agricultural_material"
"cassia leaf","cassia","taste profile / spice"
"french bean","french bean","raw_agricultural_material"
"bengal gram","chickpea","raw_agricultural_material"
"split grams","chickpea","raw_agricultural_material"
"gram pulses","chickpea","raw_agricultural_material"
"black cumin","black cumin","taste profile / spice"
"blueberries","blueberry","raw_agricultural_material"
"buffalo fat","buffalo milk","lipid base"
"chicken fat","chicken","lipid base"
"green chili","chili","taste profile / spice"
"coco powder","cocoa","processed_ingredient"
"coconut fat","coconut","lipid base"
"coconut oil","coconut","lipid base"
"cranberries","cranberry","raw_agricultural_material"
"cumin seeds","cumin","taste profile / spice"
"cumin whole","cumin","taste profile / spice"
"jeera seeds","cumin","taste profile / spice"
"gum arabica","acacia tree","thickener|stabiliser"
"emulsifiers","palm | soybean | sunflower","emulsifier"
"grape juice","grape","flavouring agent"
"green apple","apple","raw_agricultural_material"
"moong beans","mung bean","raw_agricultural_material"
"guava juice","guava","flavouring agent"
"guava puree","guava","raw_agricultural_material"
"lemon juice","lemon","flavouring agent"
"red lentils","lentil","raw_agricultural_material"
"litchi pulp","litchi","raw_agricultural_material"
"long pepper","long pepper","taste profile / spice"
"lotus seeds","lotus","raw_agricultural_material"
"mace powder","mace","taste profile / spice"
"mustard oil","mustard seed","lipid base"
"nucleotides","yeast","flavouring agent"
"fried onion","onion","taste profile / spice"
"white onion","onion","raw_agricultural_material"
"pantothenol","synthetic","NULL"
"papaya pulp","papaya","raw_agricultural_material"
"pea protein","pea","processed_ingredient"
"peach juice","peach","flavouring agent"
"pomegranate","pomegranate","raw_agricultural_material"
"potato flex","potato","raw_agricultural_material"
"raspberries","raspberry","raw_agricultural_material"
"resveratrol","grape","antioxidant"
"rice powder","rice","raw_agricultural_material"
"rice flakes","rice","raw_agricultural_material"
"puffed rice","rice","raw_agricultural_material"
"sago powder","sago","processed_ingredient"
"instant tea","tea","flavouring agent"
"vitamin b12","synthetic","fortification_agent"
"amino acids","synthetic","fortification_agent"
"edible bran","rice | wheat | oat","processed_ingredient"
"citharathai","citharathai","taste profile / spice"
"l-glutamine","synthetic | corn","fortification_agent"
"sadhakuppai","sadhakuppai","taste profile / spice"
"silver leaf","mineral","colour"
"iodised salt","mineral","raw_agricultural_material"
"iodized salt","mineral","raw_agricultural_material"
"lodised salt","mineral","raw_agricultural_material"
"lodized salt","mineral","raw_agricultural_material"
"carrot puree","carrot","raw_agricultural_material"
"color red 40","synthetic","colour"
"color blue 1","synthetic","colour"
"maize starch","corn","processed_ingredient"
"dates powder","dates","sweetener"
"fresh garlic","garlic","taste profile / spice"
"dried garlic","garlic","taste profile / spice"
"garlic paste","garlic","taste profile / spice"
"fresh ginger","ginger","taste profile / spice"
"dried ginger","ginger","taste profile / spice"
"ginger paste","ginger","taste profile / spice"
"ginger whole","ginger","taste profile / spice"
"wheat powder","wheat","raw_agricultural_material"
"mango solids","mango","processed_ingredient"
"mango powder","mango","sweetener"
"samai flakes","samai","raw_agricultural_material"
"bajra flakes","bajra","raw_agricultural_material"
"bajra powder","bajra","raw_agricultural_material"
"whole jawari","sorghum","raw_agricultural_material"
"pist extract","pistachio","flavouring agent"
"sesame seeds","sesame","raw_agricultural_material"
"defatted soy","soybean","processed_ingredient"
"soyabean oil","soybean","lipid base"
"soya protein","soybean","processed_ingredient"
"added sugars","sugarcane","sweetener"
"sugar powder","sugarcane","sweetener"
"invert sugar","sugarcane","sweetener"
"invert sugar","sugarcane","sweetener"
"invert syrup","sugarcane","sweetener"
"golden syrup","sugarcane","sweetener"
"wheat flakes","wheat","raw_agricultural_material"
"malted wheat","wheat","raw_agricultural_material"
"wheat gluten","wheat","processed_ingredient"
"vital gluten","wheat","processed_ingredient"
"almond flour","almond","raw_agricultural_material"
"almond paste","almond","raw_agricultural_material"
"diphosphates","mineral","acidity regulator"
"instant oats","oats","raw_agricultural_material"
"curry leaves","curry leaf","taste profile / spice"
"kasuri methi","fenugreek","taste profile / spice"
"orange juice","orange","flavouring agent"
"orange peels","orange","flavouring agent"
"fennel seeds","fennel","taste profile / spice"
"skimmed milk","milk","raw_agricultural_material"
"buffalo milk","buffalo milk","raw_agricultural_material"
"torula yeast","yeast","fermentation_agent"
"whey protein","milk","processed_ingredient"
"acesulfame k","synthetic","sweetener"
"carrom seeds","carom","taste profile / spice"
"ajwai powder","carom","taste profile / spice"
"talc ins 553","mineral","anticaking agent"
"apricot pulp","apricot","raw_agricultural_material"
"coffee beans","coffee","flavouring agent"
"aronia berry","aronia","raw_agricultural_material"
"banana juice","banana","flavouring agent"
"banana puree","banana","raw_agricultural_material"
"barley flour","barley","raw_agricultural_material"
"tulsi leaves","tulsi","flavouring agent"
"basmati rice","rice","raw_agricultural_material"
"french beans","french bean","raw_agricultural_material"
"cluster bean","cluster bean","raw_agricultural_material"
"roasted gram","chickpea","raw_agricultural_material"
"black pepper","black pepper","taste profile / spice"
"buffalo meat","buffalo","raw_agricultural_material"
"white butter","milk","lipid base"
"butter cream","milk","lipid base"
"beurre fondu","milk","lipid base"
